"placa","marca","modelo","anio","kilometraje","ultimo_mantenimiento","descripcion_sintomas","sensor_nivel_combustible","falla_real","subfalla_real","gravedad_real","solucion_real","es_correcto"
"GMD-697","Toyota","Corolla","2014","180279","2024-07-31","La luz de batería se enciende y las luces principales parpadean","87.3","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"HQF-593","Kia","Picanto","2023","34212","2024-06-23","Olor a aceite quemado y manchas frescas bajo el motor de forma intermitente.","30.1","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"PJM-867","Hyundai","Accent","2013","151440","2024-02-08","El pedal se va hasta el fondo sin resistencia y no frena","18.3","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"HLF-519","Kia","Seltos","2012","190476","2024-05-04","Manchas rojas en el piso y cambios retardados. Empeora en frío.","75.8","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"WKX-712","Kia","Picanto","2024","19489","2024-03-05","Testigos del tablero se encienden y apagan aleatoriamente de forma intermitente.","17.1","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"DRZ-919","Nissan","Sentra","2017","130232","2024-09-15","El auto se acelera solo o las RPM bajan hasta apagarse","2.2","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"BME-152","Toyota","RAV4","2014","226336","2024-03-13","El volante vibra violentamente al frenar a alta velocidad. Empeora en frío.","32.9","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"DTC-600","Hyundai","Creta","2020","63790","2024-11-11","Manchas rojas en el piso y cambios retardados","19.2","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"BWZ-312","Toyota","Yaris","2021","77624","2024-11-04","Dificultad para arrancar justo después de cargar gasolina. Empeora en frío.","11.0","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"HKV-646","Nissan","March","2010","268770","2024-06-25","La transmisión se queda pegada en una sola velocidad","19.6","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"SQD-527","Nissan","Sentra","2024","12082","2024-01-18","El volante vibra violentamente al frenar a alta velocidad","30.8","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"FDT-248","Nissan","Versa","2018","97097","2024-01-27","El volante vibra violentamente al frenar a alta velocidad. Huele mal.","92.9","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"XZV-324","Kia","Seltos","2015","137680","2024-10-06","Golpe seco y fuerte al pasar de P a D o R de forma intermitente.","37.3","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"EAD-814","Hyundai","Accent","2024","20014","2024-07-15","Al girar la llave todo se apaga y solo suena un click. Empeora en frío.","21.9","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"PSG-351","Toyota","RAV4","2019","96900","2024-06-13","La luz de batería se enciende y las luces principales parpadean. Empeora en frío.","41.6","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"FXH-289","Hyundai","Elantra","2023","26970","2024-12-22","Ruido metálico fuerte al encender y vibración excesiva. Empeora en frío.","64.7","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"LBX-129","Hyundai","Elantra","2013","247920","2024-03-28","El motor cascabelea (misfire) y la marcha mínima es inestable","85.9","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"ZKL-876","Hyundai","Creta","2017","101160","2024-08-18","Marcha inestable, humo negro y alto consumo de gasolina. Huele mal.","0.7","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"FJZ-696","Kia","Picanto","2021","84924","2024-05-25","La luz de batería se enciende y las luces principales parpadean","75.2","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"JNK-299","Hyundai","Creta","2016","140994","2024-09-17","Batería está bien pero el motor no gira al dar arranque. Empeora en frío.","28.7","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"TMW-998","Nissan","Sentra","2021","68236","2024-09-19","Chillido muy agudo y constante al pisar el freno suavemente. Se escucha raro.","21.4","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"HQC-277","Kia","Picanto","2022","65652","2024-01-31","Golpe seco y fuerte al pasar de P a D o R","70.5","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"HFZ-661","Nissan","March","2013","159324","2024-12-10","Al girar la llave todo se apaga y solo suena un click","41.9","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"BTG-282","Toyota","RAV4","2017","171776","2024-11-01","Marcha inestable, humo negro y alto consumo de gasolina de forma intermitente.","14.0","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"FSG-990","Kia","Picanto","2010","180510","2024-02-09","Ruido metálico fuerte al encender y vibración excesiva de forma intermitente.","89.7","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"NWM-303","Kia","Rio","2010","307290","2024-04-08","El motor tiembla, pierde potencia y consume aceite. Se escucha raro.","20.0","Motor","Falta de Compresión","Alta","Medir compresión, revisar anillos y válvulas","True"
"SBY-379","Toyota","Yaris","2022","41466","2024-02-20","El motor cascabelea (misfire) y la marcha mínima es inestable","84.4","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"ZMX-876","Nissan","March","2014","222134","2024-12-01","Chillido muy agudo y constante al pisar el freno suavemente. Empeora en frío.","16.8","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"AVD-321","Toyota","Yaris","2014","147609","2024-07-21","Dificultad para arrancar justo después de cargar gasolina. Huele mal.","7.2","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"RRJ-287","Toyota","RAV4","2017","100296","2024-04-29","El auto pierde fuerza al exigirle aceleración a fondo. Se escucha raro.","7.9","Combustible","Filtro Saturado","Baja","Cambio de filtro de combustible y línea","True"
"ZXH-139","Hyundai","Accent","2016","128106","2024-04-28","El motor cascabelea (misfire) y la marcha mínima es inestable. Empeora en frío.","21.8","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"XAZ-682","Nissan","Sentra","2024","12549","2024-08-02","Testigos del tablero se encienden y apagan aleatoriamente","66.4","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"APR-892","Hyundai","Tucson","2024","16896","2024-08-09","Olor a plástico quemado y fusibles se queman constantemente de forma intermitente.","72.5","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"TQB-294","Kia","Seltos","2021","71784","2024-10-01","El volante vibra violentamente al frenar a alta velocidad. Se escucha raro.","89.7","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"CFM-982","Hyundai","Accent","2010","204915","2024-03-20","El pedal se siente esponjoso y baja más de lo normal. Empeora en frío.","32.6","Frenos","Aire en el Sistema","Alta","Purgado completo del líquido de frenos","True"
"NZJ-194","Toyota","RAV4","2018","97874","2024-10-17","El motor sube de RPM pero el auto apenas avanza","71.3","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"GHG-644","Hyundai","Creta","2024","18906","2024-02-13","La luz de batería se enciende y las luces principales parpadean. Empeora en frío.","24.3","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"DPS-605","Nissan","Frontier","2011","183330","2024-09-02","El pedal se va hasta el fondo sin resistencia y no frena. Se escucha raro.","85.0","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"LNK-427","Hyundai","Accent","2019","87390","2024-07-14","Testigos del tablero se encienden y apagan aleatoriamente","29.4","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"ZSU-319","Nissan","March","2022","51525","2024-04-11","Golpe seco y fuerte al pasar de P a D o R de forma intermitente.","84.1","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"KBM-717","Hyundai","Elantra","2010","328950","2024-02-23","El auto da marcha pero no arranca, o se apaga en movimiento de forma intermitente.","3.2","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"TEP-151","Nissan","Versa","2024","17820","2024-03-27","El motor sube de RPM pero el auto apenas avanza. Empeora en frío.","16.2","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"YRP-337","Toyota","Corolla","2016","137133","2024-03-08","Olor a balata quemada al soltar el embrague en subidas de forma intermitente.","21.3","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"EBZ-150","Hyundai","Creta","2022","40002","2024-02-29","Testigos del tablero se encienden y apagan aleatoriamente. Se escucha raro.","46.7","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"PSJ-617","Hyundai","Creta","2024","19364","2024-10-03","El indicador de temperatura sube al máximo y sale vapor del capó. Huele mal.","77.1","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"GEZ-421","Hyundai","Accent","2017","106600","2024-08-16","Marcha inestable, humo negro y alto consumo de gasolina. Se escucha raro.","7.7","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"QFW-444","Hyundai","Elantra","2010","198735","2024-06-06","El volante vibra violentamente al frenar a alta velocidad de forma intermitente.","38.1","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"LHT-680","Kia","Sportage","2017","163816","2024-03-28","El pedal se siente esponjoso y baja más de lo normal","20.4","Frenos","Aire en el Sistema","Alta","Purgado completo del líquido de frenos","True"
"ZAE-450","Kia","Sportage","2024","12312","2024-04-03","El pedal se va hasta el fondo sin resistencia y no frena. Se escucha raro.","44.8","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"VLL-819","Nissan","March","2024","20663","2024-07-11","El indicador de temperatura sube al máximo y sale vapor del capó. Empeora en frío.","35.0","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"TCV-828","Nissan","Versa","2010","199140","2024-03-21","Golpe seco y fuerte al pasar de P a D o R. Se escucha raro.","84.5","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"SUU-947","Toyota","Corolla","2014","188309","2024-11-04","Ruido metálico fuerte al encender y vibración excesiva","69.3","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"VRK-983","Toyota","Yaris","2023","39396","2024-06-11","Ruido metálico fuerte al encender y vibración excesiva. Se escucha raro.","25.5","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"CQS-552","Hyundai","Creta","2022","64227","2024-08-02","Olor a balata quemada al soltar el embrague en subidas. Se escucha raro.","63.4","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"ZBG-460","Toyota","Corolla","2021","60712","2024-06-07","Olor a plástico quemado y fusibles se queman constantemente. Se escucha raro.","44.1","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"LMU-798","Nissan","Frontier","2012","185081","2024-04-04","Manchas rojas en el piso y cambios retardados. Huele mal.","80.5","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"KFB-418","Hyundai","Tucson","2015","148860","2024-04-07","El volante vibra violentamente al frenar a alta velocidad. Empeora en frío.","28.0","Frenos","Discos Alabeados","Media","Rectificación o cambio de discos","True"
"RFZ-801","Hyundai","Accent","2020","65415","2024-04-30","Dificultad para arrancar justo después de cargar gasolina. Se escucha raro.","6.4","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"WBN-209","Toyota","RAV4","2015","216490","2024-05-16","Testigos del tablero se encienden y apagan aleatoriamente de forma intermitente.","78.3","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"EKZ-677","Kia","Sportage","2016","191097","2024-11-02","Chillido muy agudo y constante al pisar el freno suavemente. Se escucha raro.","45.4","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"MZM-855","Hyundai","Elantra","2011","275492","2024-10-28","El auto pierde fuerza al exigirle aceleración a fondo de forma intermitente.","9.0","Combustible","Filtro Saturado","Baja","Cambio de filtro de combustible y línea","True"
"NKK-123","Toyota","Yaris","2018","116452","2024-03-19","Marcha inestable, humo negro y alto consumo de gasolina de forma intermitente.","8.3","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"DKN-228","Toyota","Corolla","2017","140912","2024-06-28","El pedal se va hasta el fondo sin resistencia y no frena","39.0","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"FNN-275","Nissan","March","2022","59799","2024-05-08","El auto se acelera solo o las RPM bajan hasta apagarse. Se escucha raro.","13.3","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"NLU-156","Hyundai","Tucson","2017","143952","2024-11-21","Olor a aceite quemado y manchas frescas bajo el motor. Empeora en frío.","84.3","Motor","Fuga de Aceite","Media","Lavado de motor y cambio de empaques/retenes","True"
"GDN-476","Toyota","RAV4","2021","79316","2024-10-29","Chillido muy agudo y constante al pisar el freno suavemente. Se escucha raro.","19.7","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"QWF-370","Kia","Picanto","2015","210330","2024-01-23","La transmisión se queda pegada en una sola velocidad. Huele mal.","55.1","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"VWM-632","Nissan","Versa","2024","18214","2024-10-24","Olor a plástico quemado y fusibles se queman constantemente. Se escucha raro.","79.0","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"SYH-660","Kia","Rio","2014","200024","2024-10-15","Se enciende testigo ABS pero el frenado mecánico funciona. Huele mal.","16.0","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"ZVV-715","Kia","Rio","2021","68916","2024-11-12","El auto se acelera solo o las RPM bajan hasta apagarse. Huele mal.","7.0","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"TSW-748","Nissan","Frontier","2023","33958","2024-02-28","La transmisión se queda pegada en una sola velocidad","19.7","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"FQR-846","Nissan","Frontier","2024","15565","2024-11-28","Testigos del tablero se encienden y apagan aleatoriamente. Se escucha raro.","72.8","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"RWC-437","Kia","Sportage","2024","16522","2024-02-07","La luz de batería se enciende y las luces principales parpadean","19.5","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"MYG-157","Nissan","March","2013","164892","2024-11-04","Testigos del tablero se encienden y apagan aleatoriamente. Se escucha raro.","23.0","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"SDU-795","Kia","Sportage","2012","168298","2024-01-09","El motor sube de RPM pero el auto apenas avanza. Se escucha raro.","23.6","Transmision","Deslizamiento de Discos","Alta","Overhaul de transmisión automática","True"
"TWR-262","Toyota","Corolla","2017","123784","2024-10-21","Testigos del tablero se encienden y apagan aleatoriamente de forma intermitente.","26.9","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"FSZ-987","Kia","Seltos","2013","248916","2024-08-03","Al girar la llave todo se apaga y solo suena un click. Empeora en frío.","55.3","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"LJF-630","Kia","Rio","2024","17699","2024-01-08","Manchas rojas en el piso y cambios retardados","49.3","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"RBV-650","Kia","Sportage","2012","282022","2024-06-09","El motor cascabelea (misfire) y la marcha mínima es inestable","80.2","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"UBE-559","Toyota","Hilux","2024","13249","2024-06-05","Chillido muy agudo y constante al pisar el freno suavemente. Empeora en frío.","17.8","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"NAJ-357","Hyundai","Elantra","2023","37822","2024-08-24","Ruido metálico fuerte al encender y vibración excesiva. Se escucha raro.","58.0","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"TFL-608","Kia","Sportage","2017","164736","2024-08-15","El motor cascabelea (misfire) y la marcha mínima es inestable de forma intermitente.","16.4","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"MSR-147","Toyota","RAV4","2019","122364","2024-09-21","Olor a balata quemada al soltar el embrague en subidas","22.1","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"BFJ-439","Nissan","Sentra","2011","228872","2024-10-11","Ruido metálico fuerte al encender y vibración excesiva. Empeora en frío.","90.8","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"BYK-278","Nissan","Sentra","2013","211248","2024-10-26","Dificultad para arrancar justo después de cargar gasolina de forma intermitente.","11.8","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"JMT-491","Toyota","Yaris","2022","50286","2024-12-20","La transmisión se queda pegada en una sola velocidad de forma intermitente.","82.2","Transmision","Solenoides Atascados","Media","Reemplazo de paquete de solenoides","True"
"ENX-728","Nissan","Sentra","2019","82056","2024-11-09","El indicador de temperatura sube al máximo y sale vapor del capó. Se escucha raro.","87.9","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"DJF-571","Toyota","RAV4","2014","166188","2024-06-27","Batería está bien pero el motor no gira al dar arranque de forma intermitente.","70.5","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"LLP-201","Nissan","March","2012","234598","2024-11-10","El auto se acelera solo o las RPM bajan hasta apagarse. Empeora en frío.","0.5","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"JSE-788","Hyundai","Creta","2021","78288","2024-03-13","Ruido metálico fuerte al encender y vibración excesiva. Empeora en frío.","81.6","Motor","Banda/Cadena de Tiempo","Crítica","Reemplazo inmediato de kit de distribución","True"
"TWL-866","Nissan","Sentra","2014","236390","2024-03-22","El motor cascabelea (misfire) y la marcha mínima es inestable de forma intermitente.","89.3","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"BNR-470","Toyota","RAV4","2021","55624","2024-08-18","Se enciende testigo ABS pero el frenado mecánico funciona. Se escucha raro.","59.3","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"XWQ-333","Kia","Sportage","2022","65610","2024-11-08","Olor a balata quemada al soltar el embrague en subidas. Huele mal.","69.2","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"AWA-852","Nissan","March","2017","148880","2024-02-08","El auto da marcha pero no arranca, o se apaga en movimiento. Empeora en frío.","13.4","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"MPL-763","Kia","Rio","2023","38008","2024-08-01","El auto se acelera solo o las RPM bajan hasta apagarse. Se escucha raro.","12.4","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"ZPC-665","Kia","Picanto","2012","252681","2024-12-26","Chillido muy agudo y constante al pisar el freno suavemente. Huele mal.","93.4","Frenos","Balatas Cristalizadas","Alta","Cambio de pastillas y rectificado de discos","True"
"DSS-420","Hyundai","Accent","2019","124302","2024-12-27","Golpe seco y fuerte al pasar de P a D o R. Empeora en frío.","34.3","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"VCZ-761","Nissan","Frontier","2021","65788","2024-06-19","Golpe seco y fuerte al pasar de P a D o R. Empeora en frío.","42.6","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"XUU-266","Toyota","RAV4","2024","15248","2024-07-26","Olor a balata quemada al soltar el embrague en subidas. Se escucha raro.","82.4","Transmision","Embrague Patinando (Manual)","Alta","Cambio de kit de embrague completo","True"
"XMA-540","Kia","Seltos","2012","226265","2024-05-16","Se enciende testigo ABS pero el frenado mecánico funciona","35.5","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"MUG-245","Toyota","Corolla","2010","282135","2024-09-03","Batería está bien pero el motor no gira al dar arranque. Empeora en frío.","56.3","Electrico","Motor de Arranque","Alta","Mantenimiento o cambio de marcha (arranque)","True"
"JTP-618","Toyota","Yaris","2020","83320","2024-12-07","El pedal se siente esponjoso y baja más de lo normal. Empeora en frío.","76.3","Frenos","Aire en el Sistema","Alta","Purgado completo del líquido de frenos","True"
"KUR-429","Nissan","Sentra","2023","33128","2024-08-14","El indicador de temperatura sube al máximo y sale vapor del capó. Huele mal.","24.5","Motor","Sobrecalentamiento","Alta","Revisar termostato, ventilador y nivel de refrigerante","True"
"LZV-596","Hyundai","Accent","2022","36108","2024-10-13","Al girar la llave todo se apaga y solo suena un click. Empeora en frío.","54.5","Electrico","Batería Agotada","Media","Prueba de carga y reemplazo de batería","True"
"XJB-252","Hyundai","Creta","2012","160966","2024-06-27","Testigos del tablero se encienden y apagan aleatoriamente de forma intermitente.","55.1","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"DTY-804","Hyundai","Elantra","2020","88800","2024-02-13","Se enciende testigo ABS pero el frenado mecánico funciona. Se escucha raro.","71.1","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"SRY-118","Nissan","Sentra","2018","146671","2024-09-05","El auto da marcha pero no arranca, o se apaga en movimiento. Huele mal.","1.2","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"BSB-616","Hyundai","Creta","2011","196336","2024-03-04","El pedal se siente esponjoso y baja más de lo normal. Empeora en frío.","17.1","Frenos","Aire en el Sistema","Alta","Purgado completo del líquido de frenos","True"
"SVU-744","Toyota","Corolla","2013","239484","2024-08-22","El auto se acelera solo o las RPM bajan hasta apagarse","4.0","Combustible","Cuerpo de Aceleración Sucio","Media","Limpieza y calibración de cuerpo de aceleración","True"
"DBY-745","Toyota","Yaris","2020","108745","2024-10-23","El auto da marcha pero no arranca, o se apaga en movimiento. Se escucha raro.","11.7","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"KFP-523","Hyundai","Tucson","2020","66940","2024-11-14","Testigos del tablero se encienden y apagan aleatoriamente. Se escucha raro.","23.4","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"DCX-915","Toyota","RAV4","2014","230285","2024-08-29","Se enciende testigo ABS pero el frenado mecánico funciona de forma intermitente.","19.1","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"KMX-718","Kia","Seltos","2023","26106","2024-07-31","La luz de batería se enciende y las luces principales parpadean. Se escucha raro.","83.3","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"CAA-786","Nissan","Sentra","2023","29908","2024-01-21","La luz de batería se enciende y las luces principales parpadean. Se escucha raro.","54.7","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"HWT-482","Toyota","Yaris","2021","77216","2024-12-14","El pedal se va hasta el fondo sin resistencia y no frena de forma intermitente.","16.6","Frenos","Fuga de Líquido","Crítica","Cambio de cilindro maestro o mangueras","True"
"RFG-459","Nissan","Sentra","2013","213672","2024-12-17","Se enciende testigo ABS pero el frenado mecánico funciona","54.9","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"XBM-772","Nissan","Frontier","2017","158024","2024-07-01","Manchas rojas en el piso y cambios retardados. Se escucha raro.","83.5","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"EFZ-533","Kia","Picanto","2018","88788","2024-02-27","Golpe seco y fuerte al pasar de P a D o R. Huele mal.","86.8","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"TNH-711","Kia","Sportage","2010","184620","2024-09-11","La luz de batería se enciende y las luces principales parpadean de forma intermitente.","50.7","Electrico","Alternador Defectuoso","Alta","Reparar o cambiar alternador","True"
"WHN-671","Hyundai","Accent","2011","216804","2024-10-30","Manchas rojas en el piso y cambios retardados de forma intermitente.","31.9","Transmision","Fuga de Fluido ATF","Baja","Sellado de fugas y relleno de nivel","True"
"KDH-864","Kia","Sportage","2018","115458","2024-04-02","Golpe seco y fuerte al pasar de P a D o R. Huele mal.","46.0","Transmision","Golpeteo en Cambios","Media","Cambio de soportes o revisión de cuerpo de válvulas","True"
"LPU-664","Toyota","Corolla","2010","182205","2024-02-22","Marcha inestable, humo negro y alto consumo de gasolina. Se escucha raro.","13.3","Combustible","Inyectores Obstruidos","Media","Limpieza de inyectores en laboratorio","True"
"AYW-313","Toyota","RAV4","2017","148256","2024-10-11","Olor a plástico quemado y fusibles se queman constantemente de forma intermitente.","91.9","Electrico","Cortocircuito","Baja","Rastreo de líneas y cambio de fusibles","True"
"JCZ-357","Hyundai","Tucson","2011","212240","2024-08-26","Se enciende testigo ABS pero el frenado mecánico funciona de forma intermitente.","68.8","Frenos","Sensor ABS","Baja","Limpieza o cambio de sensor de velocidad de rueda","True"
"GWC-434","Toyota","Hilux","2016","128196","2024-05-02","El motor cascabelea (misfire) y la marcha mínima es inestable. Empeora en frío.","57.9","Motor","Fallo en Bujías/Bobinas","Media","Escanear cilindros y reemplazar bujías/bobinas","True"
"MPW-632","Nissan","Sentra","2011","173628","2024-04-17","El auto da marcha pero no arranca, o se apaga en movimiento. Se escucha raro.","5.5","Combustible","Bomba de Gasolina","Alta","Medir presión y cambiar bomba de combustible","True"
"WEG-757","Kia","Picanto","2010","232350","2024-03-27","Testigos del tablero se encienden y apagan aleatoriamente. Se escucha raro.","26.1","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"YSY-312","Nissan","Versa","2016","146907","2024-10-20","Testigos del tablero se encienden y apagan aleatoriamente. Huele mal.","25.0","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"EFQ-390","Kia","Rio","2013","260040","2024-11-11","Dificultad para arrancar justo después de cargar gasolina. Empeora en frío.","8.3","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"CFT-707","Nissan","Sentra","2020","99855","2024-08-21","Dificultad para arrancar justo después de cargar gasolina. Huele mal.","10.0","Combustible","Válvula EVAP","Baja","Cambio de válvula de purga del canister","True"
"RXT-554","Hyundai","Accent","2011","216076","2024-10-02","Testigos del tablero se encienden y apagan aleatoriamente","37.4","Electrico","Sensores Descalibrados","Media","Reprogramación de cuerpo de aceleración/sensores","True"
"KFM-611","Toyota","Hilux","2024","20168","2024-08-11","El motor tiembla, pierde potencia y consume aceite. Huele mal.","65.1","Motor","Falta de Compresión","Alta","Medir compresión, revisar anillos y válvulas","True"
